Example	Parts	Group A	Group B
129	3	1,3	2
130	14	1,2,6,8,9	3,4,5,7,10,11,12,13,14
131	2	1	2
144	2	1	2
161	4	1,3	2,4
180	15	1,2,3,9,10,11,12,14,15	4,5,6,7,8,13
183	3	1,2	3
187	2	1	2
198	11	1,2,3,5	4,6,7,8,9,10,11
215	3	1,3	2
218	6	1,2,4,5,6	3
222	4	1,4	2,3
237B	16	1,2,3,4,5,8,9,11,12,13,14,15,16	6,7,10
255	4	1	2,3,4
258	18	1,2,6,7,10,14,15	3,4,5,8,9,11,12,13,16,17,18
262	9	1,5,6	2,3,4,7,8,9
279	9	1,2,5,6,7,9	3,4,8
281	3	1	2,3
295	4	1,2	3,4
299	2	1	2
308B	1	1	0
310	2	1	2
315	17	1,2,5,7,8,9,10,11,12,13,14,15,16,17	3,4,6
319	16	1,2,3,4,5,6,7,9,10,11,12,13,14,15,16	8
322A	11	1,2,3,4,6,7,8,9,10,11	5
324	2	1	2
332	15	1,2,3,4,5,8,12,13,14,15	6,7,9,10,11
350	2	1	2
371	8	1,3,4,5,6	2,7,8
389	3	1,2	3
392	6	1,2,3,6	4,5
396	6	1,2	3,4,5,6
408	12	1,2,3,4,5,6,7,8,9,10,12	11
409	4	1	2,3,4
411	6	1,2,5	3,4,6
415	10	1,2,5,6,7,9,10	3,4,8
420	20	1,2,3,4,5,6	7,8,9,10,11,12,13,14,15,16,17,18,19,20
426	6	1,2,3,6	4,5
428	26	1,2,3,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	5,6,7,8,9
432	8	1,2,4,5,6,7,8	3
441	11	1,2,3,5,6,7,8,9,10,11	4
443	13	1,5,6,9,10,11,12,13	2,3,4,7,8
453	16	1,2,3,4,6,8,10,11,12,13,14	5,7,9,15,16
456B	21	1,2,3,4,5,7,8,11,19,20,21	6,9,10,12,13,14,15,16,17,18
485	17	1,2,3,4,5,6,10,12	7,8,9,11,13,14,15,16,17
488	16	1,2,7,8,13,14,15,16	3,4,5,6,9,10,11,12
492	4	1,2	3,4
525	4	1,4	2,3
534	14	1,2,3,4,5,6,7,8,9,10,11,12	13,14
536	4	1,4	2,3
537	8	1,2,3,4	5,6,7,8
560	2	1	2
572	7	1,2,6,7	3,4,5
573	2	1	2
574	2	1	2
582	2	1	2
584	5	1,2	3,4,5
588	16	1,2,3,4,5,6,7,8,12,13,14,15,16	9,10,11
599	13	1,2,3,4,5,8	6,7,9,10,11,12,13
602	11	1,2,6,7,8,9,10,11	3,4,5
616	4	1,4	2,3
630	4	1	2,3,4
655	4	1,2	3,4
678	15	1,2,3,4,5,6,7,8	9,10,11,12,13,14,15
686	12	1,2,3,5,6,7,8,9,11,12	4,10
687	12	1,2,3,4,5,8,9,10,11,12	6,7
688	19	1,2,6,7,8,14,15	3,4,5,9,10,11,12,13,16,17,18,19
689	3	1	2,3
700	16	1,2,3,4,7,8,9,10,11	5,6,12,13,14,15,16
701	6	1,2,5,6	3,4
714	19	1,4,5,9,10,11,12,19	2,3,6,7,8,13,14,15,16,17,18
724	6	1,4,5,6	2,3
730	3	1	2,3
731	2	1	2
744	15	1,2,3,4,6,7,8,11,12,13,14,15	5,9,10
770	30	1,6,9,10,11,12,13,14,15,20,21,22,26,29	2,3,4,5,7,8,16,17,18,19,23,24,25,27,28,30
798	6	1,2,4,6	3,5
799	7	1,2,3	4,5,6,7
809	7	1,2,3	4,5,6,7
812	11	1,2,3	4,5,6,7,8,9,10,11
